ra,dec,psfMag_r,psfMag_g
0.279713638474687,0.095094699510994,24.03083,23.49442
0.279884297740296,0.384870054580294,22.1264,23.59975
0.280211672360224,0.254349173136411,22.82306,24.8306
0.280261066359287,0.343161500128378,15.92295,16.37963
0.280684890162604,0.345883464348548,19.72516,21.31035
0.281032261527344,0.309779583783147,19.71103,20.23131
0.352899866146629,0.22353831027328,24.23922,22.62602
0.352978275371129,0.27305293075193,20.80756,22.19415
0.352997050937345,0.0528007832805784,22.98282,24.35614
0.353001555754675,0.197656049281813,24.75723,24.38946
0.353235725781497,0.0872730579026261,23.2641,23.56626
0.353446588010513,0.418012829759208,24.05559,23.38199
0.353560584378819,0.197716347150816,24.39087,24.82571
0.353581880119208,0.469106208590398,16.09819,16.65472
0.353775099068287,0.309914545980081,23.0111,24.25278
0.353776301631456,0.253869334131923,22.98418,25.11444
0.354005497502509,0.0951766606401983,25.53645,23.26726
0.35416397844191,0.140447257319929,21.07015,22.63936
0.354180172948546,0.0566333749267404,23.97441,24.34744
0.354294073897677,0.0126563890498846,24.34498,23.50157
0.354421377535395,0.14145540732235,18.50965,18.83199
0.35442180161175,0.254348290207237,21.28969,22.4962
0.354434607718304,0.304237784385018,25.59749,23.47826
0.354648244056477,0.2196672699166,23.12092,22.0076
0.354697962028462,0.0548094462516091,23.2916,23.83115
0.354700599638591,0.313863492804082,23.77988,23.2899
0.354733393996197,0.00262817515561063,19.46775,19.62919
0.354915587810467,0.266947463241586,20.23233,21.61427
0.355095301079018,0.228485959809347,22.63759,24.06444
0.355110355548968,0.201053274514708,13.06863,15.41417
0.355232036192191,0.0677026206987459,21.64278,23.17875
0.355332082194622,0.473415081014726,20.58776,21.04799
0.429809730772186,0.0950639036408551,24.7162,23.4372
0.430078960977257,0.00636925724936051,21.74706,22.31747
0.43020073728826,0.284413964196768,21.57251,22.88054
0.430391369643104,0.44328235862056,22.42661,23.70063
0.43051427439417,0.223625354701794,24.63716,23.26563
0.430521381284507,0.398380174910158,20.18202,21.57442
0.430844034873076,0.22970370974933,24.89975,25.67493
0.430898252329371,0.295077500734301,22.78117,23.97729
0.43130339725036,0.360327587757672,20.58971,21.84538
0.431424914994864,0.323095874790979,25.37412,24.69239
0.431838337183649,0.419793163280441,21.92555,22.47148
0.431891353087337,0.235802381132252,21.07885,22.64345
0.431931814388479,0.160217263116836,19.38579,20.82553
0.432261515042828,0.208064183621868,19.86605,21.41826
0.0172478542237968,0.103432232577812,22.63337,23.86314
0.0179385036468034,0.234039520228521,24.37772,24.8015
0.0180053669729432,0.336675713431212,24.91391,25.15315
0.0180983745893855,0.39280876152725,25.01485,22.59883
0.0182156412226107,0.455649085113116,22.94362,26.06536
0.0188073387867576,0.255335989540326,19.15047,19.94875
0.019139204067983,0.223491312300484,25.1585,23.20331
0.103091327188224,0.388924034236134,21.71768,23.53348
0.103127852454691,0.255691252837607,24.57636,24.86699
0.103139469946395,0.126245056565358,24.15992,24.39943
0.103395678675327,0.376086129548959,15.71933,16.65014
0.103579206664589,0.0126758507887237,24.25743,23.47709
0.104257683215906,0.293918144324395,22.75438,25.88257
0.104296099613066,0.285211284673003,19.46801,20.69494
0.104360366683977,0.281179419129868,17.3305,17.98498
0.104467163052163,0.486086764947155,22.64286,23.46138
0.105162202761505,0.279301039398182,17.82261,18.85176
0.105514318719941,0.451833980537,22.40951,22.78329
0.183773713350845,0.197629939638998,24.52287,24.48945
0.183774098651712,0.186253785450281,19.81024,21.35448
0.183912733242778,0.410151240327267,24.24979,25.69835
0.183987387509518,0.165640129533994,14.58617,15.09783
0.184000151378301,0.0593211754996661,24.05667,25.4564
0.184061901181941,0.171758297621049,22.21188,23.67432
0.184276946751332,0.161361624672048,14.81477,15.58767
0.184589862681491,0.480836086796415,21.46972,22.89273
0.184640189101616,0.105754048206003,20.13708,20.46941
0.185264439461776,0.408116885240446,21.72185,22.40459
0.185420993046597,0.00075803815706217,17.33347,17.86538
0.185504327683304,0.262290735851945,21.51603,22.86483
0.185697622431576,0.250837376071917,17.07181,18.02851
0.266441326610364,0.142495698729319,23.19462,24.10759
0.266457537789051,0.351106434904424,22.77227,24.84543
0.266690784923581,0.12296144014117,20.42122,20.66591
0.266846161975934,0.225599077202995,24.32031,25.16514
0.266892188140952,0.142853140444983,20.89617,21.96832
0.266896037768735,0.0654997073113854,19.0461,18.86891
0.267102865565164,0.491737444195864,22.79337,23.47837
0.267280299898966,0.0673054242972793,21.84108,24.03332
0.267547109147188,0.223461408015012,25.25303,22.81708
0.267890450392404,0.145989861779903,22.91412,24.79888
